recid	adpricetype	adprice	adDepth	adType
1880010754	0	5	 	 
1880010755	0	4	 	 
1880010756	0	4	 	 
1880010757	0	5	 	 
1880010758	0	5	 	 
1880010759	0	5	 	 
1880010760	0	5	 	 
1880010761	0	1.67	 	 
1880010762	0	6.67	 	 
1880010763	0	6.67	 	 
1880010764	0	10	 	 
1880010765	0	6.5	 	 
1880010766	0	8.4	 	 
1880010767	0	6.5	 	 
1880010768	0	12.5	 	 
1880010769	0	8.5	 	 
1880010770	0	4.56	 	 
1880010771	0	3.34	 	 
1880010772	0	6.11	 	 
1880010773	0	2.5	 	 
1880010774	0	6.25	 	 
1880010775	0	6.25	 	 
1880010776	0	13.5	 	 
1880010777	0	7.5	 	 
1880010778	0	3	 	 
1880010779	0	13	 	 
1880010780	0	2	 	 
1880010781	0	5	 	 
1880010782	0	6.25	 	 
1880010783	0	13.5	 	 
1880010784	0	5	 	 
1880010785	0	3	 	 
1880010786	0	3.5	 	 
1880010787	0	3.34	 	 
1880010788	0	6	 	 
1880010789	0	3	 	 
1880010790	0	5	 	 
1880010791	0	3	 	 
1880010792	0	2.5	 	 
1880010793	0	7.5	 	 
1880010794	0	7.5	 	 
1880010795	0	8	 	 
1880010796	0	2.5	 	 
1880010797	0	3	 	 
1880010798	0	5	 	 
1880010799	0	2.67	 	 
1880010800	0	4.17	 	 
1880010801	0	7	 	 
1880010802	0	10	 	 
1880010803	0	5	 	 
1880010804	0	10	 	 
1880010805	0	6.5	 	 
1880010806	0	6.5	 	 
1880010807	0	6.5	 	 
1880010808	0	6	 	 
1880010809	0	6.5	 	 
1880010810	0	5	 	 
1880010811	0	3.34	 	 
1880010812	0	3.34	 	 
1880010813	0	2	 	 
1880010814	0	5	 	 
1880010815	0	4	 	 
1880010816	0	5	 	 
1880010817	0	5	 	 
1880010818	0	6	 	 
1880010819	0	5	 	 
1880010820	0	5	 	 
1880010821	0	5	 	 
1880010822	0	6	 	 
1880010823	0	6	 	 
1880010824	0	5	 	 
1880010825	0	5	 	 
1880010826	0	5	 	 
1880010827	0	8	 	 
1880010828	0	2.5	 	 
1880010829	0	5	 	 
1880010830	0	5	 	 
1880010831	0	6	 	 
1880010832	0	6	 	 
1880010833	0	6	 	 
1880010834	0	3	 	 
1880010835	0	3	 	 
1880010836	0	3	 	 
1880010837	0	3	 	 
1880010838	0	3	 	 
1880010839	0	4	 	 
1880010840	0	3	 	 
1880010841	0	3	 	 
1880010842	0	4	 	 
1880010843	0	5	 	 
1880010844	0	3	 	 
1880010845	0	4	 	 
1880010846	0	10	 	 
1880010847	0	4	 	 
1880010848	0	4	 	 
1880010849	0	5	 	 
1880010850	0	3	 	 
1880010851	0	3	 	 
1880010852	0	16.67	 	 
1880010853	0	7.5	 	 
1880010854	0	28.25	 	 
1880010855	0	15	 	 
1880010856	0	15	 	 
1880010858	0	15	 	 
1880010859	0	14.44	 	 
1880010860	0	6	 	 
1880010861	0	6	 	 
1880010862	0	7	 	 
1880010863	0	23.3	 	 
1880010864	0	6	 	 
1880010865	0	2.5	 	 
1880010866	0	2.5	 	 
1880010867	0	2.5	 	 
1880010868	0	2.5	 	 
1880010869	0	3	 	 
1880010870	0	2.5	 	 
1880010871	0	5	 	 
1880010872	0	5	 	 
1880010873	0	3.13	 	 
1880010874	0	5	 	 
1880010875	0	5	 	 
1880010876	0	3	 	 
1880010877	0	3	 	 
1880010878	0	5	 	 
1880010879	0	5	 	 
1880010880	0	3	 	 
1880010881	0	3	 	 
1880010882	0	5	 	 
1880010883	0	5	 	 
1880010884	0	5	 	 
1880010885	0	4	 	 
1880010886	0	3	 	 
1880010887	0	5	 	 
1880010888	0	3	 	 
1880010889	0	3	 	 
1880010890	0	2.5	 	 
1880010891	0	3	 	 
1880010892	0	3	 	 
1880010893	0	3	 	 
1880010894	0	2.5	 	 
1880010895	0	2.5	 	 
1880010896	0	9	 	 
1880010897	0	5	 	 
1880010898	0	5	 	 
1880010899	0	4	 	 
1880010900	0	3.5	 	 
1880010901	0	4	 	 
1880010902	0	3.5	 	 
1880010903	0	7.5	 	 
1880010904	0	6	 	 
1880010905	0	10	 	 
1880010906	0	10	 	 
1880010907	0	10.5	 	 
1880010908	0	6	 	 
1880010909	0	6	 	 
1880010910	0	4	 	 
1880010911	0	8	 	 
1880010912	0	6	 	 
1880010913	0	8	 	 
1884000001	0	3.75	 	 
1884000002	0	3.00	 	 
1884000003	0	3.75	 	 
1884000004	0	3.34	 	 
1884000005	0	3.00	 	 
1884000006	0	3.34	 	 
1884000007	0	3.34	 	 
1884000009	0	2.92	 	 
1884000010	0	3.34	 	 
1884000011	0	2.00	 	 
1884000012	0	2.00	 	 
1884000013	0	3.34	 	 
1884000014	0	3.33	 	 
1884000015	0	2.50	 	 
1884000016	0	2.00	 	 
1884000017	0	3.75	 	 
1884000018	0	7.12	 	 
1884000019	0	5.55	 	 
1884000020	0	6.00	 	 
1884000021	0	3.00	 	 
1884000022	0	2.92	 	 
1884000023	0	4.00	 	 
1884000024	0	3.34	 	 
1884000025	0	5.00	 	 
1884000026	0	4.38	 	 
1884000027	0	2.50	 	 
1884000028	0	3.34	 	 
1884000029	0	19.50	 	 
1884000030	0	22.50	 	 
1884000031	0	16.87	 	 
1884000032	0	16.87	 	 
1884000033	0	22.50	 	 
1884000034	0	32.50	 	 
1884000035	0	22.50	 	 
1884000036	0	16.87	 	 
1884000037	0	4.17	 	 
1884000038	0	4.17	 	 
1884000040	0	4.17	 	 
1884000041	0	3.00	 	 
1884000042	0	3.75	 	 
1884000043	0	3.75	 	 
1884000044	0	8.00	 	 
1884000045	0	3.34	 	 
1884000046	0	4.17	 	 
1884000047	0	2.50	 	 
1884000048	0	3.00	 	 
1884000049	0	2.50	 	 
1884000050	0	3.00	 	 
1884000051	0	4.17	 	 
1884000052	0	4.17	 	 
1884000053	0	4.17	 	 
1884000054	0	4.17	 	 
1884000055	0	3.67	 	 
1884000056	0	4.17	 	 
1884000057	0	4.17	 	 
1884000058	0	3.96	 	 
1884000059	0	1.67	 	 
1884000060	0	6.04	 	 
1884000061	0	5.50	 	 
1884000062	0	5.00	 	 
1884000063	0	7.00	 	 
1884000064	0	3.50	 	 
1884000065	0	3.50	 	 
1884000066	0	3.13	 	 
1884000067	0	4.20	 	 
1884000068	0	8.33	 	 
1884000069	0	6.00	 	 
1884000070	0	4.00	 	 
1884000071	0	4.17	 	 
1884000072	0	5.00	 	 
1884000073	0	5.63	 	 
1884000074	0	5.00	 	 
1884000075	0	6.00	 	 
1884000076	0	7.00	 	 
1884000077	0	7.00	 	 
1884000078	0	7.00	 	 
1884000079	0	7.00	 	 
1884000080	0	7.00	 	 
1884000081	0	3.00	 	 
1884000082	0	4.80	 	 
1884000083	0	4.17	 	 
1884000084	0	4.17	 	 
1884000085	0	4.17	 	 
1884000086	0	4.17	 	 
1884000087	0	2.00	 	 
